url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,1425,610
/aws-samples/aws-customer-playbook-framework/tree/main/docs,278,188
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,141,122
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,69,49
/aws-samples/aws-customer-playbook-framework/tree/main/.github/workflows,55,46
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Playbook_Creation_Process.md,47,35
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,47,34
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,42,38
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,38,31
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,33,27
