url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,398,270
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,244,142
/aws-samples/aws-customer-playbook-framework/tree/main/docs,229,136
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,63,38
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,60,39
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,56,39
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,42,35
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,41,25
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Windows.md,33,21
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,32,20
