url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,1356,956
/aws-samples/aws-customer-playbook-framework/tree/main/docs,829,245
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,628,226
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,258,90
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,218,86
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,212,81
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Denial_of_Service.md,171,60
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,168,61
/aws-samples/aws-customer-playbook-framework/tree/main,156,82
/aws-samples/aws-customer-playbook-framework/tree/main/.github/workflows,138,47
