url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,563,163
/aws-samples/aws-customer-playbook-framework/tree/main/docs,519,166
/aws-samples/aws-customer-playbook-framework,447,296
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,204,49
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,171,52
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,163,55
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,130,41
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,115,37
/aws-samples/aws-customer-playbook-framework/blob/main/docs/RDS_Public_Access.md,112,31
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,106,34
