url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,787,628
/aws-samples/aws-customer-playbook-framework/tree/main/docs,774,231
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,509,160
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,238,88
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,194,55
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,169,65
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,165,62
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Playbook_Creation_Process.md,139,54
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,139,54
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Denial_of_Service.md,121,44
