url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,481,336
/aws-samples/aws-customer-playbook-framework/tree/main/docs,318,158
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,278,147
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,100,42
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,57,40
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,57,36
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,52,34
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,50,29
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,45,34
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Unauthorized_Network_Changes.md,42,30
