url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,787,162
/aws-samples/aws-customer-playbook-framework,485,286
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,447,52
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,432,48
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,430,52
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,399,39
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,394,40
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,388,33
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Bedrock_Response.md,382,35
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,375,29
