url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,282,166
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,150,92
/aws-samples/aws-customer-playbook-framework/tree/main/docs,148,85
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,69,43
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,34,25
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,27,22
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Denial_of_Service.md,26,19
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,22,14
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Unauthorized_Network_Changes.md,20,14
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,19,15
