url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,540,394
/aws-samples/aws-customer-playbook-framework/tree/main/docs,442,129
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,400,148
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Denial_of_Service.md,318,76
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,191,73
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,182,63
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,179,65
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,141,53
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Playbook_Creation_Process.md,109,41
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,108,41
