url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework/tree/main/docs,304,217
/aws-samples/aws-customer-playbook-framework,247,180
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,116,82
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,47,33
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,43,37
/aws-samples/aws-customer-playbook-framework/tree/main/docs/es,29,17
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,27,18
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Playbook_Creation_Process.md,21,17
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,20,18
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,20,18
