url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,466,296
/aws-samples/aws-customer-playbook-framework/pulls,204,15
/aws-samples/aws-customer-playbook-framework/tree/main/docs,187,121
/aws-samples/aws-customer-playbook-framework/forks,137,14
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,126,88
/aws-samples/aws-customer-playbook-framework/issues,67,13
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,64,39
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,61,46
/aws-samples/aws-customer-playbook-framework/graphs/commit-activity,59,13
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,57,46
